1bi6.pdb,0.961538,1.000000,0.857143,1.000000
1bvg.pdb,0.929293,1.000000,0.852632,1.000000
1bxl.pdb,0.979695,0.966942,1.000000,1.000000
1cqh.pdb,0.974576,1.000000,0.892857,1.000000
1dhm.pdb,1.000000,1.000000,1.000000,1.000000
1dom.pdb,0.960526,1.000000,0.800000,1.000000
1e08.pdb,0.992551,1.000000,0.941176,0.996390
1f2r.pdb,0.983957,1.000000,0.960000,1.000000
1f95.pdb,0.857143,1.000000,0.658537,1.000000
1fxt.pdb,1.000000,1.000000,1.000000,1.000000
1g3f.pdb,0.976190,1.000000,0.727273,1.000000
1g5j.pdb,0.980000,0.971429,1.000000,1.000000
1gx7.pdb,0.996466,1.000000,0.967213,1.000000
1haa.pdb,0.977011,1.000000,0.942857,1.000000
1hum.pdb,0.971014,1.000000,0.857143,1.000000
1hze.pdb,0.969072,1.000000,0.952381,1.000000
1ihv.pdb,0.942308,1.000000,0.903226,1.000000
1il8.pdb,0.971831,1.000000,0.944444,1.000000
1ilq.pdb,0.962025,1.000000,0.942857,1.000000
1io6.pdb,0.956522,1.000000,0.944444,1.000000
1j4v.pdb,0.960000,1.000000,0.928571,1.000000
1ka7.pdb,0.949580,1.000000,0.882353,1.000000
1klc.pdb,0.910714,1.000000,0.833333,1.000000
1klq.pdb,0.966184,1.000000,0.892308,1.000000
1l4w.pdb,0.969697,1.000000,0.930233,1.000000
1l5e.pdb,0.960396,1.000000,0.931034,1.000000
1mh6.pdb,0.936000,1.000000,0.843137,1.000000
1msg.pdb,1.000000,1.000000,1.000000,1.000000
1n3j.pdb,1.000000,1.000000,1.000000,1.000000
1n9j.pdb,0.841837,1.000000,0.590909,1.000000
1niq.pdb,0.940000,1.000000,0.868687,1.000000
1olg.pdb,0.833333,1.000000,0.000000,1.000000
1oo9.pdb,0.965986,1.000000,0.890411,1.000000
1ovx.pdb,1.000000,1.000000,1.000000,1.000000
1pes.pdb,0.806452,1.000000,0.000000,1.000000
1prm.pdb,0.969231,1.000000,0.958333,1.000000
1q6a.pdb,1.000000,1.000000,1.000000,1.000000
1qnz.pdb,0.971888,1.000000,0.957983,1.000000
1qtg.pdb,1.000000,1.000000,1.000000,1.000000
1qwe.pdb,1.000000,1.000000,1.000000,1.000000
1rgj.pdb,1.000000,1.000000,1.000000,1.000000
1rlq.pdb,1.000000,1.000000,1.000000,1.000000
1rqu.pdb,0.916667,1.000000,0.722222,1.000000
1rqv.pdb,0.916667,1.000000,0.722222,1.000000
1rto.pdb,0.955882,1.000000,0.823529,1.000000
1sak.pdb,0.833333,1.000000,0.000000,1.000000
1sal.pdb,0.833333,1.000000,0.000000,1.000000
1suy.pdb,1.000000,1.000000,1.000000,1.000000
1wcr.pdb,1.000000,1.000000,1.000000,1.000000
1wja.pdb,1.000000,1.000000,1.000000,1.000000
1wlp.pdb,0.981595,1.000000,0.962264,1.000000
